item_cd,store_cdード,商品名,日付,発注GP,販売数,部門コード,部門名
4943508067907,861,SATA2-CASE2.5BK,2018-08-30,ＤＯＳ／Ｖパーツ,3,368063,ＨＤＤモバイルケース
4943508067907,861,SATA2-CASE2.5BK,2018-08-31,ＤＯＳ／Ｖパーツ,0,368063,ＨＤＤモバイルケース
4943508073441,861,ECO-CASE3.5-U2-BK,2018-08-30,ＤＯＳ／Ｖパーツ,2,368061,ＨＤＤ外付ケース
4943508073441,861,ECO-CASE3.5-U2-BK,2018-08-31,ＤＯＳ／Ｖパーツ,0,368061,ＨＤＤ外付ケース
0735858350129,861,Intel Core i7-8700,2018-08-30,ＤＯＳ／Ｖパーツ,3,368011,ＩＮＴＥＬ
0735858350129,861,Intel Core i7-8700,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
0735858367349,861,Intel Core i5-8600,2018-08-30,ＤＯＳ／Ｖパーツ,1,368011,ＩＮＴＥＬ
0735858367349,861,Intel Core i5-8600,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
0735858367417,861,Intel Core i5-8500,2018-08-30,ＤＯＳ／Ｖパーツ,2,368011,ＩＮＴＥＬ
0735858367417,861,Intel Core i5-8500,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
4981254036730,861,Link Station 2ﾄﾞﾗｲﾌﾞ 4TB,2018-08-30,ＤＯＳ／Ｖパーツ,1,341060,ＮＡＳ
4981254036730,861,Link Station 2ﾄﾞﾗｲﾌﾞ 4TB,2018-08-31,ＤＯＳ／Ｖパーツ,0,341060,ＮＡＳ
4537694252706,861,DiskStation DS218play 2ﾍﾞｲNASｷｯﾄ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368064,ＮＡＳケース
4537694252706,861,DiskStation DS218play 2ﾍﾞｲNASｷｯﾄ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368064,ＮＡＳケース
4711246871052,861,Versa H17 -NoWindow-,2018-08-30,ＤＯＳ／Ｖパーツ,1,368020,ＰＣケース
4711246871052,861,Versa H17 -NoWindow-,2018-08-31,ＤＯＳ／Ｖパーツ,0,368020,ＰＣケース
4711246871656,861,Versa H26 Black ／w casefan,2018-08-30,ＤＯＳ／Ｖパーツ,1,368020,ＰＣケース
4711246871656,861,Versa H26 Black ／w casefan,2018-08-31,ＤＯＳ／Ｖパーツ,0,368020,ＰＣケース
4571225899480,861,GWT20IIR(ﾍﾟｱ),2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4571225899480,861,GWT20IIR(ﾍﾟｱ),2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4571225899497,861,GWT40IIR(ﾍﾟｱ),2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4571225899497,861,GWT40IIR(ﾍﾟｱ),2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4950190358497,861,PCｽﾋﾟｰｶｰ USB電源 ﾌﾞﾗｯｸ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4950190358497,861,PCｽﾋﾟｰｶｰ USB電源 ﾌﾞﾗｯｸ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4953103311657,861,ﾊﾟｿｺﾝ用2.0chｽﾋﾟｰｶｰ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4953103311657,861,ﾊﾟｿｺﾝ用2.0chｽﾋﾟｰｶｰ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4969887524763,861,MMSPL3BK(ﾍﾟｱ),2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4969887524763,861,MMSPL3BK(ﾍﾟｱ),2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4969887528747,861,USBｽﾋﾟｰｶｰ ﾌﾞﾗｯｸ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4969887528747,861,USBｽﾋﾟｰｶｰ ﾌﾞﾗｯｸ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4969887529188,861,USB電源ｻｳﾝﾄﾞﾊﾞｰｽﾋﾟｰｶｰ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4969887529188,861,USB電源ｻｳﾝﾄﾞﾊﾞｰｽﾋﾟｰｶｰ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4988481733517,861,PSPDPRS(ﾍﾟｱ),2018-08-30,ＤＯＳ／Ｖパーツ,1,368030,ＰＣスピーカー
4988481733517,861,PSPDPRS(ﾍﾟｱ),2018-08-31,ＤＯＳ／Ｖパーツ,0,368030,ＰＣスピーカー
4942322002866,861,SSR650FM Seasonic FOCUS GOLDｼﾘｰｽﾞ ｾﾐﾓｼﾞｭｰﾙ電源,2018-08-30,ＤＯＳ／Ｖパーツ,1,368050,ＰＣ電源
4942322002866,861,SSR650FM Seasonic FOCUS GOLDｼﾘｰｽﾞ ｾﾐﾓｼﾞｭｰﾙ電源,2018-08-31,ＤＯＳ／Ｖパーツ,0,368050,ＰＣ電源
4935508021973,861,Xit Stick（ｻｲﾄ ｽﾃｨｯｸ）,2018-08-30,ＤＯＳ／Ｖパーツ,2,364050,ＴＶ・ビデオキャプチャボード
4935508021973,861,Xit Stick（ｻｲﾄ ｽﾃｨｯｸ）,2018-08-31,ＤＯＳ／Ｖパーツ,0,364050,ＴＶ・ビデオキャプチャボード
