item_cd,store_cd,日付,chanel_gp,販売数
0842776102461,861,2018-05-31,その他,0.0
0842776102461,861,2018-05-31,自社EC,12.0
0842776102461,861,2018-06-01,その他,1.0
0842776102461,861,2018-06-01,自社EC,4.0
0842776102461,861,2018-06-02,その他,0.0
0842776102461,861,2018-06-02,自社EC,5.0
0842776102461,861,2018-06-03,その他,0.0
0842776102461,861,2018-06-03,自社EC,11.0
0842776102461,861,2018-06-04,その他,1.0
0842776102461,861,2018-06-04,自社EC,3.0
0842776102461,861,2018-06-05,その他,10.0
0842776102461,861,2018-06-05,自社EC,8.0
0842776102461,861,2018-06-06,その他,0.0
0842776102461,861,2018-06-06,自社EC,5.0
0842776102461,861,2018-06-07,その他,36.0
0842776102461,861,2018-06-07,自社EC,9.0
0842776102461,861,2018-06-08,その他,1.0
0842776102461,861,2018-06-08,自社EC,8.0
0842776102461,861,2018-06-09,その他,0.0
0842776102461,861,2018-06-09,自社EC,17.0
0842776102461,861,2018-06-10,その他,0.0
0842776102461,861,2018-06-10,自社EC,18.0
0842776102461,861,2018-06-11,その他,0.0
0842776102461,861,2018-06-11,自社EC,7.0
0842776102461,861,2018-06-12,その他,1.0
0842776102461,861,2018-06-12,自社EC,13.0
0842776102461,861,2018-06-13,その他,0.0
0842776102461,861,2018-06-13,自社EC,6.0
0842776102461,861,2018-06-14,その他,0.0
0842776102461,861,2018-06-14,自社EC,14.0
0842776102461,861,2018-06-15,その他,1.0
0842776102461,861,2018-06-15,自社EC,285.0
0842776102461,861,2018-06-16,その他,0.0
0842776102461,861,2018-06-16,自社EC,186.0
0842776102461,861,2018-06-17,その他,1.0
0842776102461,861,2018-06-17,自社EC,298.0
0842776102461,861,2018-06-18,その他,0.0
0842776102461,861,2018-06-18,自社EC,227.0
0842776102461,861,2018-06-19,その他,0.0
0842776102461,861,2018-06-19,自社EC,126.0
0842776102461,861,2018-06-20,その他,0.0
0842776102461,861,2018-06-20,自社EC,189.0
0842776102461,861,2018-06-21,その他,1.0
0842776102461,861,2018-06-21,自社EC,276.0
0842776102461,861,2018-06-22,その他,0.0
0842776102461,861,2018-06-22,自社EC,96.0
0842776102461,861,2018-06-23,その他,0.0
0842776102461,861,2018-06-23,自社EC,117.0
0842776102461,861,2018-06-24,その他,0.0
0842776102461,861,2018-06-24,自社EC,196.0
0842776102461,861,2018-06-25,その他,0.0
0842776102461,861,2018-06-25,自社EC,38.0
0842776102461,861,2018-06-26,その他,1.0
0842776102461,861,2018-06-26,自社EC,3.0
0842776102461,861,2018-06-27,その他,0.0
0842776102461,861,2018-06-27,自社EC,7.0
0842776102461,861,2018-06-28,その他,0.0
0842776102461,861,2018-06-28,自社EC,8.0
0842776102461,861,2018-06-29,その他,0.0
0842776102461,861,2018-06-29,自社EC,3.0
0842776102461,861,2018-06-30,その他,0.0
0842776102461,861,2018-06-30,自社EC,4.0
3045386376735,861,2018-04-01,Amazon,0.0
3045386376735,861,2018-04-01,Yahoo!,0.0
3045386376735,861,2018-04-01,楽天,0.0
3045386376735,861,2018-04-01,自社EC,1.0
3045386376735,861,2018-04-02,Amazon,0.0
3045386376735,861,2018-04-02,Yahoo!,0.0
3045386376735,861,2018-04-02,楽天,0.0
3045386376735,861,2018-04-02,自社EC,0.0
3045386376735,861,2018-04-03,Amazon,0.0
3045386376735,861,2018-04-03,Yahoo!,0.0
3045386376735,861,2018-04-03,楽天,0.0
3045386376735,861,2018-04-03,自社EC,0.0
3045386376735,861,2018-04-04,Amazon,0.0
3045386376735,861,2018-04-04,Yahoo!,0.0
3045386376735,861,2018-04-04,楽天,0.0
3045386376735,861,2018-04-04,自社EC,0.0
3045386376735,861,2018-04-05,Amazon,0.0
3045386376735,861,2018-04-05,Yahoo!,0.0
3045386376735,861,2018-04-05,楽天,0.0
3045386376735,861,2018-04-05,自社EC,0.0
3045386376735,861,2018-04-06,Amazon,0.0
3045386376735,861,2018-04-06,Yahoo!,0.0
3045386376735,861,2018-04-06,楽天,0.0
3045386376735,861,2018-04-06,自社EC,0.0
3045386376735,861,2018-04-07,Amazon,0.0
3045386376735,861,2018-04-07,Yahoo!,0.0
3045386376735,861,2018-04-07,楽天,2.0
3045386376735,861,2018-04-07,自社EC,0.0
3045386376735,861,2018-04-08,Amazon,0.0
3045386376735,861,2018-04-08,Yahoo!,0.0
3045386376735,861,2018-04-08,楽天,1.0
3045386376735,861,2018-04-08,自社EC,0.0
3045386376735,861,2018-04-09,Amazon,0.0
3045386376735,861,2018-04-09,Yahoo!,0.0
3045386376735,861,2018-04-09,楽天,0.0
3045386376735,861,2018-04-09,自社EC,0.0
3045386376735,861,2018-04-10,Amazon,0.0
3045386376735,861,2018-04-10,Yahoo!,0.0
3045386376735,861,2018-04-10,楽天,1.0
3045386376735,861,2018-04-10,自社EC,0.0
3045386376735,861,2018-04-11,Amazon,0.0
3045386376735,861,2018-04-11,Yahoo!,0.0
3045386376735,861,2018-04-11,楽天,0.0
3045386376735,861,2018-04-11,自社EC,0.0
3045386376735,861,2018-04-12,Amazon,0.0
3045386376735,861,2018-04-12,Yahoo!,0.0
3045386376735,861,2018-04-12,楽天,0.0
3045386376735,861,2018-04-12,自社EC,0.0
3045386376735,861,2018-04-13,Amazon,0.0
3045386376735,861,2018-04-13,Yahoo!,0.0
3045386376735,861,2018-04-13,楽天,0.0
3045386376735,861,2018-04-13,自社EC,0.0
3045386376735,861,2018-04-14,Amazon,0.0
3045386376735,861,2018-04-14,Yahoo!,0.0
3045386376735,861,2018-04-14,楽天,2.0
3045386376735,861,2018-04-14,自社EC,0.0
3045386376735,861,2018-04-15,Amazon,0.0
3045386376735,861,2018-04-15,Yahoo!,0.0
3045386376735,861,2018-04-15,楽天,0.0
3045386376735,861,2018-04-15,自社EC,0.0
3045386376735,861,2018-04-16,Amazon,0.0
3045386376735,861,2018-04-16,Yahoo!,0.0
3045386376735,861,2018-04-16,楽天,0.0
3045386376735,861,2018-04-16,自社EC,0.0
3045386376735,861,2018-04-17,Amazon,0.0
3045386376735,861,2018-04-17,Yahoo!,1.0
3045386376735,861,2018-04-17,楽天,1.0
3045386376735,861,2018-04-17,自社EC,0.0
3045386376735,861,2018-04-18,Amazon,0.0
3045386376735,861,2018-04-18,Yahoo!,0.0
3045386376735,861,2018-04-18,楽天,0.0
3045386376735,861,2018-04-18,自社EC,0.0
3045386376735,861,2018-04-19,Amazon,0.0
3045386376735,861,2018-04-19,Yahoo!,0.0
3045386376735,861,2018-04-19,楽天,0.0
3045386376735,861,2018-04-19,自社EC,1.0
3045386376735,861,2018-04-20,Amazon,0.0
3045386376735,861,2018-04-20,Yahoo!,0.0
3045386376735,861,2018-04-20,楽天,1.0
3045386376735,861,2018-04-20,自社EC,0.0
3045386376735,861,2018-04-21,Amazon,0.0
3045386376735,861,2018-04-21,Yahoo!,0.0
3045386376735,861,2018-04-21,楽天,0.0
3045386376735,861,2018-04-21,自社EC,0.0
