item_cd,store_cd,日付,chanel_gp,販売数,dept_cd,部門名,商品名,季節休日係数,季節休日係数割戻販売数,μ,σ,μ+2σ,μ-2σ,W,p,正規分布
842776102461,861,2018-04-01,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-02,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-03,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-04,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-05,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-06,その他,10.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,10.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-07,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-08,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-09,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-10,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-11,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-12,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-13,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-14,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-15,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-16,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-17,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-18,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-19,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-20,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.0,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
842776102461,861,2018-04-21,その他,0.0,181010,スマートスピーカー,ｽﾏｰﾄｽﾋﾟｰｶｰ,1.07,-0.0,0.7362637362637363,4.0327414574955895,8.801746651254916,-7.329219178727443,0.17731791734695435,3.228799677815869e-20,1
