ì˙ït,store_cd,item_cd,ëçç›å…ó ,îÃîÑâ¬î\ç›å…,à⁄ëóíÜ,î≠íçéc
2018-07-28,861,3045386376735,55,0,25,30
2018-07-29,861,3045386376735,55,0,25,30
2018-07-30,861,3045386376735,30,0,25,5
2018-07-31,861,3045386376735,5,0,0,5
2018-04-01,861,4514953727427,50,50,0,0
2018-04-02,861,4514953727427,43,43,0,0
2018-04-03,861,4514953727427,43,43,0,0
2018-04-04,861,4514953727427,42,42,0,0
2018-04-05,861,4514953727427,40,40,0,0
2018-04-06,861,4514953727427,39,39,0,0
2018-04-07,861,4514953727427,32,32,0,0
2018-04-08,861,4514953727427,54,31,0,23
2018-04-09,861,4514953727427,86,28,0,58
2018-04-10,861,4514953727427,84,49,0,35
2018-04-11,861,4514953727427,80,80,0,0
2018-04-12,861,4514953727427,79,79,0,0
2018-04-13,861,4514953727427,76,76,0,0
2018-04-14,861,4514953727427,73,73,0,0
2018-04-15,861,4514953727427,67,67,0,0
2018-04-16,861,4514953727427,39,39,0,0
2018-04-17,861,4514953727427,31,31,0,0
2018-04-18,861,4514953727427,53,23,0,30
2018-04-19,861,4514953727427,55,18,0,37
2018-04-20,861,4514953727427,52,45,0,7
2018-04-21,861,4514953727427,51,44,0,7
2018-04-22,861,4514953727427,51,44,0,7
2018-04-23,861,4514953727427,95,44,0,51
2018-04-24,861,4514953727427,95,44,0,51
2018-04-25,861,4514953727427,94,87,0,7
2018-04-26,861,4514953727427,94,94,0,0
2018-04-27,861,4514953727427,92,92,0,0
2018-04-28,861,4514953727427,90,90,0,0
2018-04-29,861,4514953727427,88,88,0,0
2018-04-30,861,4514953727427,88,88,0,0
2018-05-01,861,4514953727427,25,25,0,0
2018-05-02,861,4514953727427,51,25,0,26
2018-05-03,861,4514953727427,49,49,0,0
2018-05-04,861,4514953727427,26,26,0,0
2018-05-05,861,4514953727427,42,23,0,19
2018-05-06,861,4514953727427,42,42,0,0
2018-05-07,861,4514953727427,49,39,0,10
2018-05-08,861,4514953727427,67,39,0,28
2018-05-09,861,4514953727427,76,64,0,12
