item_cd,store_cd,日付,chanel_gp,販売数,dept_cd,部門名,商品名,季節休日係数,季節休日係数割戻販売数
3045386376735,861,2018-07-06,Yahoo!,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,-0.0
3045386376735,861,2018-07-06,楽天,1.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,1.0
3045386376735,861,2018-07-06,自社EC,2.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,3.0
3045386376735,861,2018-07-07,Amazon,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.66,-0.0
3045386376735,861,2018-07-07,Yahoo!,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.66,-0.0
3045386376735,861,2018-07-07,楽天,1.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.66,1.0
3045386376735,861,2018-07-07,自社EC,3.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.66,4.0
3045386376735,861,2018-07-08,Amazon,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.68,-0.0
3045386376735,861,2018-07-08,Yahoo!,1.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.68,1.0
3045386376735,861,2018-07-08,楽天,2.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.68,2.0
3045386376735,861,2018-07-08,自社EC,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.68,-0.0
3045386376735,861,2018-07-09,Amazon,0.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,-0.0
3045386376735,861,2018-07-09,Yahoo!,1.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,1.0
3045386376735,861,2018-07-09,楽天,1.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,1.0
3045386376735,861,2018-07-09,自社EC,2.0,253020,電気ケトル,電気ｹﾄﾙ ｢ｼﾞｬｽﾃｨﾝ･ﾌﾟﾗｽ ﾛｯｸ｣ 1L ﾚｯﾄﾞ KO4415JP,0.63,3.0
